id	category	before_path	after_path	archive_path	tags	purpose	needed	builtin_alternative	overlap	context_load	false_positive	failure_impact	verification	low_cost_model	deterministic_replacement	disposition	evidence
resource:claude-gh-issue-references	claude-skill-resource	-	shared/skills/claude-code/gh-issue/references	-		package-local Issue workflow reference link	high	none	canonical shared reference	on-demand	stale link	high	validator + runtime audit	n/a	yes	add	Claude runtime path failure 2026-07-29
claude-skill:issue-writing	claude-skill	-	codex/skills/issue-writing/SKILL.md	-		Issue body quality dependency for Claude	high	none	Codex shares the same source	on-demand	missing dependency	medium	dependency contract + runtime discovery	yes	template validation supplements	share/install	Claude runtime missing dependency 2026-07-29
claude-skill:gh:pr	claude-skill	claude/skills/gh:pr/SKILL.md	shared/skills/claude-code/gh-pr/SKILL.md	-		pull-request workflow	high	none	none	manual-only	external side effect	high	ask rules + skill schema	yes	gh CLI	rename/keep	report §3.4/Phase 4; archive; tests
resource:claude-gh-pr-references	claude-skill-resource	-	shared/skills/claude-code/gh-pr/references	-		package-local PR workflow reference link	high	none	canonical shared reference	on-demand	stale link	high	validator + runtime audit	n/a	yes	add	Claude package path audit 2026-07-29
claude-skill:gh:review	claude-skill	claude/skills/gh:review/SKILL.md	shared/skills/claude-code/gh-review/SKILL.md	-	review-progress-retrospective	PR review workflow	high	none	pr-review overlap limited to entrypoint	manual-only	duplicate review	low	skill schema + review contract	yes	deterministic checks first	rename/keep	report §3.4/Phase 4; archive; tests
resource:claude-gh-review-references	claude-skill-resource	-	shared/skills/claude-code/gh-review/references	-		package-local review workflow reference link	high	none	canonical shared reference	on-demand	stale link	high	validator + runtime audit	n/a	yes	add	Claude package path audit 2026-07-29
claude-skill:gh:start	claude-skill	claude/skills/gh:start/SKILL.md	shared/skills/claude-code/gh-start/SKILL.md	-	routing	issue start/implementation owner workflow	high	none	project-orchestrator/fast-worker removed	manual-only	handoff churn	medium	test-gh-start-contract	yes	gh-issue-fetch	rename/simplify	report §3.4/Phase 4; archive; tests
resource:claude-gh-start-references	claude-skill-resource	-	shared/skills/claude-code/gh-start/references	-		package-local implementation workflow reference link	high	none	canonical shared reference	on-demand	stale link	high	validator + runtime audit	n/a	yes	add	Claude runtime path failure 2026-07-29
claude-skill:introspect	claude-skill	claude/skills/introspect/SKILL.md	-	docs/archive/skills/introspect/SKILL.md		agent self-analysis	low	normal response	none	manual-only	unverifiable output	low	archive presence	yes	no	archive	report §3.4/Phase 4; archive; tests
claude-skill:issue-parser	claude-skill	claude/skills/issue-parser/SKILL.md	claude/bin/parse_issue.py	docs/archive/skills/issue-parser/SKILL.md		issue body parsing	high	none	gh-issue embedded use	manual-only	parse error	high	runtime smoke	yes	yes: script	relocate	report §3.4/Phase 4; archive; tests
claude-skill:issue-retrospective	claude-skill	claude/skills/issue-retrospective/SKILL.md	-	docs/archive/skills/issue-retrospective/SKILL.md	review-progress-retrospective	issue retrospective record	low	Task/memory features	issue-work-logger/progress-tracker	manual-only	log bloat	low	archive presence	yes	partial	archive	report §3.4/Phase 4; archive; tests
claude-skill:issue-work-logger	claude-skill	claude/skills/issue-work-logger/SKILL.md	-	docs/archive/skills/issue-work-logger/SKILL.md	review-progress-retrospective	continuous issue work logging	low	Task/memory features	issue-retrospective/progress-tracker	manual/event	log bloat	low	archive presence	yes	partial	archive	report §3.4/Phase 4; archive; tests
claude-skill:knowledge-audit	claude-skill	claude/skills/knowledge-audit/SKILL.md	shared/skills/knowledge-audit/SKILL.md	-		curate learned guidance on demand	medium	none	shared learnings	manual-only	promotion of weak guidance	low	manual audit contract	yes	partial	keep/lazy	report §3.4/Phase 4; archive; tests
claude-skill:model-routing	claude-skill	claude/skills/model-routing/SKILL.md	shared/skills/claude-code/model-routing/SKILL.md	-	routing	detailed owner/model routing	high	none	CLAUDE.md contains summary only	manual-only	over-escalation	medium	routing contract	yes	no	keep/lazy	report §3.4/Phase 4; archive; tests
claude-skill:plan-review	claude-skill	claude/skills/plan-review/SKILL.md	shared/skills/claude-code/plan-review/SKILL.md	-	review-progress-retrospective	invoke independent plan review	high	none	plan-reviewer is executor not duplicate	manual-only	duplicate review	low	skill/agent contract	yes	deterministic checks first	keep	report §3.4/Phase 4; archive; tests
claude-skill:pr-review	claude-skill	claude/skills/pr-review/SKILL.md	shared/skills/claude-code/pr-review/SKILL.md	-	review-progress-retrospective	PR review process	high	none	gh-review entrypoint overlap controlled	manual-only	duplicate review	low	skill schema	yes	deterministic checks first	keep	report §3.4/Phase 4; archive; tests
claude-skill:progress-tracker	claude-skill	claude/skills/progress-tracker/SKILL.md	-	docs/archive/skills/progress-tracker/SKILL.md	review-progress-retrospective	task progress tracking	low	native task tracking	issue logger/retrospective	manual/event	context/log bloat	low	archive presence	yes	yes	archive	report §3.4/Phase 4; archive; tests
claude-skill:python-refactor-analysis	claude-skill	claude/skills/python-refactor-analysis/SKILL.md	shared/skills/python-refactor-analysis/SKILL.md	-		deterministic Python refactor analysis	high	none	none	manual-only	analysis false positive	medium	pytest suite	yes	yes: analyzer	keep	report §3.4/Phase 4; archive; tests
claude-skill:token-efficiency	claude-skill	claude/skills/token-efficiency/SKILL.md	-	docs/archive/skills/token-efficiency/SKILL.md		token-saving advice	low	modern model/context management	CLAUDE.md brevity guidance	manual-only	overcompression	low	archive presence	yes	no	archive	report §3.4/Phase 4; archive; tests
claude-skill:x-article-to-markdown	claude-skill	claude/skills/x-article-to-markdown/SKILL.md	-	docs/archive/skills/x-article-to-markdown/SKILL.md		convert X article to Markdown	low	none	none	manual-only	network/content drift	low	archive presence	yes	partial	archive	report §3.4/Phase 4; archive; tests
codex-skill:claude-second-opinion	codex-skill	codex/skills/claude-second-opinion/SKILL.md	codex/skills/claude-second-opinion/SKILL.md	-		request an isolated Claude second opinion	medium	none	none	manual-only	low	medium	skill schema	yes	scripts where available	keep	Agent Skills schema; manifest
codex-skill:doctor	codex-skill	codex/skills/doctor/SKILL.md	codex/skills/doctor/SKILL.md	-		diagnose Codex environment/configuration	medium	none	none	manual-only	low	medium	skill schema	yes	scripts where available	keep	Agent Skills schema; manifest
codex-skill:issue-writing	codex-skill	codex/skills/issue-writing/SKILL.md	codex/skills/issue-writing/SKILL.md	-		write structured issues	medium	none	none	manual-only	low	medium	skill schema	yes	scripts where available	keep	Agent Skills schema; manifest
codex-skill:kaggle	codex-skill	codex/skills/kaggle/SKILL.md	codex/skills/kaggle/SKILL.md	-		Kaggle workflows and modules	medium	none	none	manual-only	low	medium	skill schema	yes	scripts where available	keep	Agent Skills schema; manifest
helper:agmsg	helper/external	shared/skills/agmsg/SKILL.md	shared/skills/agmsg/SKILL.md	-	runtime-state external-local	Claude Code/Codex local message transport; generic engine compatibility preserved	conditional	none	none	on demand/event	external/runtime failure	medium	script tests or syntax	n/a	yes	keep	manifest/classification/runtime support contract
helper:codex-herdr-state	helper/external	codex/herdr-agent-state.sh	codex/herdr-agent-state.sh	-	external-herdr runtime-state	publish Codex agent state to Herdr	conditional	none	none	on demand/event	external/runtime failure	medium	script tests or syntax	n/a	yes	keep	manifest/classification/runtime contracts
helper:emit-system-message	helper/external	-	claude/hooks/lib/emit_system_message.py	-	runtime-state	emit JSON-safe bounded hook systemMessage output	high	none	none	SessionStart/PostCompact	truncation at byte bound	medium	test-hook-context + hook metrics	n/a	yes	add/keep	tests/CI
helper:gh-issue-fetch	helper/external	claude/bin/gh-issue-fetch.sh	claude/bin/gh-issue-fetch.sh	-	external-github	fetch issue data through approved gh invocation	conditional	none	none	on demand/event	external/runtime failure	medium	script tests or syntax	n/a	yes	keep	manifest/classification/runtime contracts
helper:gh-progress-sync	helper/external	claude/bin/gh-progress-sync.sh	claude/bin/gh-progress-sync.sh	-	external-github review-progress-retrospective	synchronize issue progress	conditional	none	none	on demand/event	external/runtime failure	medium	script tests or syntax	n/a	yes	keep	manifest/classification/runtime contracts
helper:gh-projects-integration	helper/external	claude/scripts/gh-projects-integration.sh	claude/scripts/gh-projects-integration.sh	-	external-github	GitHub Projects integration	conditional	none	none	on demand/event	external/runtime failure	medium	script tests or syntax	n/a	yes	keep	manifest/classification/runtime contracts
helper:gh-retrospective	helper/external	claude/bin/gh-retrospective.sh	claude/bin/gh-retrospective.sh	-	external-github review-progress-retrospective	write issue retrospective when explicitly invoked	conditional	none	none	on demand/event	external/runtime failure	medium	script tests or syntax	n/a	yes	keep	manifest/classification/runtime contracts
helper:gtr-finish	helper/external	claude/bin/gtr-finish	claude/bin/gtr-finish	-	runtime-state	finish git worktree workflow	conditional	none	none	on demand/event	external/runtime failure	medium	script tests or syntax	n/a	yes	keep	manifest/classification/runtime contracts
helper:gtr-start	helper/external	claude/bin/gtr-start	claude/bin/gtr-start	-	runtime-state	start git worktree workflow	conditional	none	none	on demand/event	external/runtime failure	medium	script tests or syntax	n/a	yes	keep	manifest/classification/runtime contracts
helper:parse-issue	helper/external	claude/skills/issue-parser/SKILL.md	claude/bin/parse_issue.py	-	runtime-utility	deterministically parse issue body	conditional	none	none	on demand/event	external/runtime failure	medium	script tests or syntax	n/a	yes	relocate	manifest/classification/runtime contracts
helper:private-routing-locate	helper/external	-	claude/bin/private-routing-locate	-	private-routing runtime-state	locate opt-in private routing file without reading content	conditional	none	none	on demand/event	external/runtime failure	medium	script tests or syntax	n/a	yes	add	manifest/classification/runtime contracts
helper:project-locate	helper/external	claude/bin/project-locate	claude/bin/project-locate	-	runtime-state	resolve project root deterministically	conditional	none	none	on demand/event	external/runtime failure	medium	script tests or syntax	n/a	yes	keep	manifest/classification/runtime contracts
helper:project-policy-gate	helper/external	-	claude/bin/project-policy-gate	-	runtime-state	reject project/local settings that reserve managed security surfaces	high	none	none	every Bash call/runtime check	project security customization intentionally rejected	high	test-managed-policy + pre-bash + runtime doctor	n/a	yes	add/keep	tests/CI
helper:slack-notify	helper/external	claude/bin/slack-notify	claude/bin/slack-notify	-	external-slack	send explicit Slack notification	conditional	none	none	on demand/event	external/runtime failure	medium	script tests or syntax	n/a	yes	keep	manifest/classification/runtime contracts
helper:statusline	helper/external	claude/statusline.sh	claude/statusline.sh	-	runtime-state	render local status line	conditional	none	none	on demand/event	external/runtime failure	medium	script tests or syntax	n/a	yes	keep	manifest/classification/runtime contracts
helper:uvw	helper/external	-	claude/bin/uvw	-	runtime-utility	isolate uv mutable state in a temporary tree	conditional	none	none	on demand/event	external/runtime failure	medium	script tests or syntax	n/a	yes	add	manifest/classification/runtime contracts
hook:config-change-hook	hook	claude/hooks/config-change-hook.sh	claude/hooks/config-change-hook.sh	-		block unsafe user/project settings changes during a live session	high	partial	rules/CI where noted	event-only	low	medium	managed registration + project-policy fixtures	yes	config-change	keep	managed hooks; tests; report §3.5
hook:herdr-agent-state	hook	claude/hooks/herdr-agent-state.sh	claude/hooks/herdr-agent-state.sh	-		update Herdr agent state	high	partial	rules/CI where noted	event-only	external socket/state drift	low	syntax/registration	yes	runtime script	keep	managed hooks; tests; report §3.5
hook:post-compact-hook	hook	claude/hooks/post-compact-hook.sh	claude/hooks/post-compact-hook.sh	-		restore bounded repository orientation after compaction	high	partial	rules/CI where noted	PostCompact systemMessage	low	low	JSON + byte-bound test	yes	script	keep/bound	managed hooks; tests; report §3.5
hook:pr-review-hook	hook	claude/hooks/pr-review-hook.sh	claude/hooks/pr-review-hook.sh	-	review-progress-retrospective	trigger PR review notification/check	high	partial	rules/CI where noted	PostToolUse Bash	false positives	low	syntax/registration	yes	script	keep	managed hooks; tests; report §3.5
hook:pre-bash-validate-hook	hook	claude/hooks/pre-bash-validate-hook.sh	claude/hooks/pre-bash-validate-hook.sh	-		block unsafe project policy plus common dangerous command/path literals	high	partial	rules/CI where noted	every Bash call	over-block by design	medium	PreToolUse negative fixtures + command/path tests	yes	heuristic only; no complete lower boundary	keep/harden	managed hooks; tests; report §3.5
hook:session-init-hook	hook	claude/hooks/session-init-hook.sh	claude/hooks/session-init-hook.sh	-		inject bounded repository orientation	high	partial	rules/CI where noted	SessionStart systemMessage	low	low	JSON + byte-bound test	yes	script	keep/bound	managed hooks; tests; report §3.5
hook:slack-notify-hook	hook	claude/hooks/slack-notify-hook.sh	claude/hooks/slack-notify-hook.sh	-		send explicit lifecycle notifications to Slack	high	partial	rules/CI where noted	event-only	network/config failure	low	syntax/registration	yes	script	keep	managed hooks; tests; report §3.5
hook:test-quality-hook	hook	claude/hooks/test-quality-hook.sh	-	-	review-progress-retrospective	model-based test quality advice after tools	low	partial	rules/CI where noted	frequent	high false positives	low	path absence	n/a	CI/rules	delete	managed hooks; tests; report §3.5
hook:user-prompt-submit-hook	hook	claude/hooks/user-prompt-submit-hook.sh	-	-		inject prompt-time advice	low	partial	rules/CI where noted	every prompt	context pollution	low	path absence	n/a	root rules	delete	managed hooks; tests; report §3.5
mechanism:bootstrap	install	bootstrap.sh	bootstrap.sh	-		install links only after managed policy/runtime checks	high	none	migration overlaps limited	install-time	partial install	high	test-bootstrap	n/a	yes	harden	inventory audit / tests / report
mechanism:managed-installer	install	-	scripts/install-managed-policy.sh	-		install exact root-owned managed policy drop-in	high	none	bootstrap calls it	install-time	wrong target/permissions	high	test-managed-policy/bootstrap	n/a	yes	add	inventory audit / tests / report
mechanism:manifest	install	install/manifest.tsv	install/manifest.tsv	-		public symlink installation map	high	none	none	install-time	target collision	high	bootstrap/validator tests	n/a	yes	keep	inventory audit / tests / report
legacy:whole-directory-links	legacy	~/.claude -> repo/claude; ~/.codex -> repo/codex; ~/.agents -> repo/shared	-	-	legacy	legacy install layout	no	manifest links	new manifest	always coupled runtime/source	repo pollution	high	migration/validator tests	n/a	yes	remove via migration	migration plan
mechanism:migration	migration	scripts/migrate-layout.sh	scripts/migrate-layout.sh	-		migrate legacy whole-directory links without reading secrets	high	none	bootstrap cutover related	manual	data loss if wrong	high	test-migration	n/a	yes	keep	inventory audit / tests / report
mechanism:record-inventory	migration	scripts/record-migration-inventory.sh	scripts/record-migration-inventory.sh	-		record path/type inventory without secret contents	medium	none	classification report	manual	metadata omission	medium	fixture test via migration suite	n/a	yes	keep	inventory audit / tests / report
output-style:darasan	output-style	claude/output-styles/darasan.md	claude/output-styles/darasan.md	-		optional darasan response style	optional	default style	none	manual selection only	style leakage	low	path presence	n/a	no	keep opt-in	PDF §3.6
output-style:hiyos	output-style	claude/output-styles/hiyos.md	claude/output-styles/hiyos.md	-		optional hiyos response style	optional	default style	none	manual selection only	style leakage	low	path presence	n/a	no	keep opt-in	PDF §3.6
output-style:kuroko	output-style	claude/output-styles/kuroko.md	claude/output-styles/kuroko.md	-		optional kuroko response style	optional	default style	none	manual selection only	style leakage	low	path presence	n/a	no	keep opt-in	PDF §3.6
output-style:ojosama	output-style	claude/output-styles/ojosama.md	claude/output-styles/ojosama.md	-		optional ojosama response style	optional	default style	none	manual selection only	style leakage	low	path presence	n/a	no	keep opt-in	PDF §3.6
runtime:overlay-manifest	private-overlay	-	${XDG_CONFIG_HOME:-$HOME/.config}/agents-toolkit/overlay/manifest.tsv	-	private-overlay	install machine-specific non-secret overlay links	optional	none	none	install-time	target collision	high	bootstrap overlay tests	n/a	yes	keep external	bootstrap
runtime:private-routing	private-overlay	claude/CLAUDE.local.md	${XDG_CONFIG_HOME:-$HOME/.config}/agents-toolkit/private-routing.md	-	private-routing	machine-specific specialist routing, read only when selected	optional	none	none	on demand	stale mapping	medium	resolver contract test	n/a	path resolver	relocate outside repo	classification + private routing contract
codex-reference:python-quality	reference	-	codex/references/python-quality.md	-	lazy	Python quality guidance loaded only when needed	high	none	formerly inline in AGENTS.md	on-demand	low	low	sync-shared-rules --check	yes	lint supplements	relocate from AGENTS.md; not a skill	M-03 closure
mechanism:codex-hooks	settings	codex/hooks.json	codex/hooks.json	-		Codex hook registrations	medium	none	none	event-only	runtime mismatch	medium	JSON validation	n/a	yes	keep	inventory audit / tests / report
mechanism:managed-hooks	settings	claude/settings.json	claude/managed-settings.json	-		only audited toolkit hooks are loaded	high	managed hook lock	project/plugin hooks blocked	session/event	blocked third-party plugin hooks	medium	policy checker + registration count	n/a	yes	relocate/harden	inventory audit / tests / report
mechanism:managed-permissions	settings	-	claude/managed-settings.json	-		non-overridable owner-selected bypassPermissions default	high	managed settings official feature	permission rules skipped by bypass	session configuration	no permission enforcement	high	policy checker + installer + live doctor	n/a	yes	add managed policy	inventory audit / tests / report
mechanism:managed-sandbox	settings	claude/settings.json	claude/managed-settings.json	-		record owner-selected disabled sandbox policy	high	native sandbox available	user-scope policy superseded	session configuration	no filesystem or network isolation	high	policy checker + installer	n/a	yes	relocate/disable by owner decision	inventory audit / tests / report
mechanism:user-settings	settings	claude/settings.json	claude/settings.json	-		non-security user preferences, model alias and plugin choices	high	none	security policy removed to managed scope	session configuration	plugin/config drift	medium	JSON + policy checker	n/a	yes	split/keep	inventory audit / tests / report
shared-rule:decision-integrity	shared-rule	shared/rules/decision-integrity.md	shared/rules/core-contract.md	-	always-on	decision-integrity shared guidance	high	partial	core contract	imported or embedded	low	medium	sync + context metrics	n/a	lint/managed policy partial	merge/core	Claude 5 context modernization
shared-rule:failure-investigation	shared-rule	shared/rules/failure-investigation.md	shared/rules/failure-investigation.md	-		failure-investigation shared guidance	high	partial	none	imported or embedded as configured	low	medium	sync check + grep metrics	n/a	lint/managed policy partial	keep	report §3.1; sync map
shared-rule:framework-respect	shared-rule	shared/rules/framework-respect.md	-	-		framework-respect shared guidance	medium	partial	documented merge	imported or embedded as configured	low	medium	sync check + grep metrics	n/a	lint/managed policy partial	merge into karpathy-guidelines	report §3.1; sync map
